"University Name,School Name,Program  Title",Program Type,Tuition,Program Length,Program Start,Delivery Method,Email,Phone Number,Address,Program Information
St. Louis University�s Richard A. Chaifetz School of Business: MS in Supply Chain Management,Supply Chain Management,"$41,790",2 years,Fall,On-Campus,mgmtbiz@slu.edu,314-977-7156,"St. Louis University, Richard A. Chaifetz School of Business, 3674 Lindell Blvd., Davis-Shaughnessy Hall Room 400, St. Louis, Missouri 63108",http://business.slu.edu/programs-of-study/graduate-business-programs/ms-in-supply-chain-management/
Stanford Graduate School of Business: MS in Management (MSx),Management,"$121,040",12 months,Summer,On-Campus,stanfordmsx@gsb.stanford.edu,650-723-2149,"Stanford MSx Program, Patterson Bldg, 655 Knight Way, Stanford, California 94305-7298",https://www.gsb.stanford.edu/programs/msx
Syracuse University�s Whitman School of Business: MS in Business Analytics,Analytics & Data Science,"$54,000",6 quarters,"October, January, April, July",Online,admissions@onlinebusiness.syr.edu,844-797-4622,"Whitman School of Management, Syracuse University, 721 University Avenue, Syracuse, New York 13244-2450",https://onlinebusiness.syr.edu/business-analytics/
Syracuse University�s Whitman School of Management: MS in Accounting,Accounting,"$45,000",5 quarters,"October, January, April, July",Online,admissions@onlinebusiness.syr.edu,844-797-4622,"Whitman School of Management, Syracuse University, 721 University Avenue, Syracuse, New York 13244-2450",https://onlinebusiness.syr.edu/programs/
Syracuse University�s Whitman School of Management: MS in Entrepreneurship and Emerging Enterprises,Entrepreneurship,"$45,000",5 quarters,"October, January, April, July",On-Campus,admissions@onlinebusiness.syr.edu,844-797-4622,"Whitman School of Management, Syracuse University, 721 University Avenue, Syracuse, New York 13244-2450",https://onlinebusiness.syr.edu/entrepreneurship/
Syracuse University�s Whitman School of Management: MS in Finance,Finance,"$45,000",1 year,Fall,On-Campus,tbarkley@syr.edu,315-443-8107,"Whitman School of Management, Syracuse University, 721 University Avenue, Syracuse, New York 13244-2450",http://whitman.syr.edu/programs-and-academics/programs/ms/finance/index.aspx
Syracuse University�s Whitman School of Management: MS in Marketing,Marketing,"$45,000","9-, 16- or 21-months",Fall,On-Campus,busgrad@syr.edu,315-443-4327,"Whitman School of Management, 721 University Ave, Syracuse, New York 13224",http://whitman.syr.edu/msm
Syracuse University�s Whitman School of Management: MS in Supply Chain Management,Supply Chain Management,"$45,000","9 months, 16 months, 18 months",Fall,On-Campus,ffeaston@syr.edu,315-443-3463,"Whitman School of Management, Syracuse University, 721 University Avenue, Syracuse, New York 13244-2450",http://whitman.syr.edu/msscm
Temple University�s Fox School of Business: Master of Accountancy,Accounting,"$30,312",12 months,Fall,On-Campus,foxinfo@temple.edu,215-204-6482,"Specialized Masters Admissions, Temple University, Fox School of Business/Graduate Admissions Office, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/master-of-accountancy/
Temple University�s Fox School of Business: Master of Health Administration,Healthcare Administration,"$27,786",27 months,Fall or Spring,On-Campus,foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/health-administration-mha/
Temple University�s Fox School of Business: MS in Actuarial Science,Actuary Science,"$30,312",12 months,Fall or Spring,On-Campus,foxinfo@temple.edu,215-204-5890,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/actuarial-science/
Temple University�s Fox School of Business: MS in Business Analytics,Analytics & Data Science,"$30,312",12 months,Fall or Spring,On-Campus,foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/business-analytics/
Temple University�s Fox School of Business: MS in Digital Innovation in Marketing,Marketing,"$30,312",16 months,Fall,Online,foxinfo@temple.edu,215-204-5890,"Fox School of Business Graduate Admissions, Temple University, Department of Management Information Systems, 1801 Liacouras Walk, 701 Alter Hall, Philadelphia, Pennsylvania 19106",http://www.fox.temple.edu/cms_academics/dept/marketing-supply-chain-management/
Temple University�s Fox School of Business: MS in Financial Analysis and Risk Management,"Finance, Risk Management","$40,416",22 months,Fall,On-Campus,foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",https://www.fox.temple.edu/cms_academics/specialized-masters-program/finance-main/msfa-rm/msfa-rm-overview/
Temple University�s Fox School of Business: MS in Financial Engineering,Finance,"$80,832",10 months,Fall,On-Campus,foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",https://www.fox.temple.edu/cms_academics/specialized-masters-program/finance-main/financial-engineering/
Temple University�s Fox School of Business: MS in Human Resource Management,Human Resources,"$31,500",13 months,Fall or Spring,"On-Campus, Online",foxinfo@temple.edu,215-204-4106,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/ms-human-resource-management/
Temple University�s Fox School of Business: MS in Innovation Management & Entrepreneurship,Entrepreneurship,"$20,208",12 months,Fall or Spring,"Blended, On-Campus, Online",foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/innovation-management-entrepreneurship/
Temple University�s Fox School of Business: MS in Investment Management,"Finance, Investment Management","$32,460",10 - 22 months,Fall,On-Campus,foxinfo@temple.edu,215-204-5890,"Fox School of Business Graduate Admissions, Temple University, 1801 Liacouras Walk, 701 Alter Hall, Philadelphia, Pennsylvania 19106",http://www.fox.temple.edu/cms_academics/specialized-masters-program/finance-main/msim/
Temple University�s Fox School of Business: MS in IT Auditing and Cyber Security,Information Systems,"$30,312",11 months,Fall or Spring,On-Campus,foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/it-auditing-and-cyber-security/
Temple University�s Fox School of Business: MS in Marketing,Marketing,"$40,416",18 months,Fall or Spring,"On-Campus, Online",foxinfo@temple.edu,215-204-7676,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/marketing/
Temple University�s Fox School of Business: MS in Statistics,Statistics,"$20,208",10 months,Fall,On-Campus,foxinfo@temple.edu,215-204-3191,"Fox School of Business/Graduate Admissions Office, Temple University, 1801 Liacouras Walk, 701 Alter Hall (006-22), Philadelphia, Pennsylvania 19122",http://www.fox.temple.edu/cms_academics/specialized-masters-program/concentrations/statistics/
Texas A&M University�s Mays Business School: Master of Real Estate,Real Estate,"$14,748",16 months,"August, January",On-Campus,adegelman@mays.tamu.edu,979-845-4858,"Master of Real Estate Program Office, Texas A&M University, Mays Business School 341, 4128 TAMU, College Station, Texas 77843",http://mays.tamu.edu/master-of-real-estate/
Texas A&M University�s Mays Business School: MS in Accounting,Accounting,"$13,500",18 months,Spring and Fall,On-Campus,msacct@tamu.edu,979-845-8587,"MS Accounting, Texas A&M University, Mays Business School, 4353 TAMU, Wehner Building Suite 487, College Station, Texas 77843",http://mays.tamu.edu/ms-accounting
Texas A&M University�s Mays Business School: MS in Business,Business Administration (MSBA),"$12,400",11 months,Summer,On-Campus,msbusiness@mays.tamu.edu,979-845-2440,"MS Business Program Office, Texas A&M University, Mays Business School, 4121 TAMU, Wehner Building Suite 365, College Station, Texas 77843",http://mays.tamu.edu/ms-business
Texas A&M University�s Mays Business School: MS in Finance,Finance,"$38,500",10 months,August,On-Campus,a-hayes@mays.tamu.edu,979-458-3217,"MSF Program Office, Texas A&M University, Mays Business School, Wehner Building, Suite 342, 4218 TAMU, College Station, Texas 77843",http://mays.tamu.edu/ms-finance
Texas A&M University�s Mays Business School: MS in Human Resource Management,Human Resources,"$30,320",1.5 years,Fall,On-Campus,vbrown@mays.tamu.edu,979-862-3708,"Department of Management, Texas A&M University, Mays Business School, 4221 TAMU, Wehner Building Suite 483F, College Station, Texas 77843",https://mays.tamu.edu/ms-human-resource-management/
Texas A&M University�s Mays Business School: MS in Management Information Systems,"Information Systems, Management","$13,062",21 months,Fall,On-Campus,INFOStudentServices@mays.tamu.edu,979-845-0811,"INFO Student Services Office, Texas A&M University, Mays Business School, 4217 TAMU, Wehner Building Suite 330, College Station, Texas 77843",http://mays.tamu.edu/ms-management-information-systems/
Texas A&M University�s Mays Business School: MS in Marketing,Marketing,"$29,500 In-State, $35,000 Out-of-State",16 months,Fall Semester,On-Campus,ms-mktg@mays.tamu.edu,979-845-5801,"MS Marketing Office, Texas A&M University, Mays Business School, Department of Marketing, 4112 TAMU, College Station, Texas 77843",https://mays.tamu.edu/ms-marketing/
Texas Christian University�s Neeley School of Business: MS in Supply Chain Management,Supply Chain Management,"$46,650",Three or four semesters,August,On-Campus,mbainfo@tcu.edu,817-257-4760,"Texas Christian University, Neeley School of Business, TCU Box 298540, Fort Worth, Texas 76129",http://www.neeley.tcu.edu/MSinSCM/
Texas Christian University�s Neeley School of Business: PPA/Master of Accountancy,Accounting,"$51,300",2 semesters,Fall,On-Campus,ppaccounting@tcu.edu,817-257-7223,"Texas Christian University, Neeley School of Business, Dan Rogers Hall, Suite 340, 2900 Lubbock Street, Fort Worth, Texas 76109",http://www.neeley.tcu.edu/MAC.aspx
Texas Tech University�s Jerry S. Rawls College of Business: MS in Accounting,Accounting,"$9,450",1 year,"Fall, Spring, Summer","Blended, On-Campus, Online",mary.weatherly@ttu.edu,806-834-8428,"Texas Tech University, Jerry S. Rawls College of Business, 703 Flint Ave., Box 41030, Lubbock, Texas 79409",https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/accounting/
Texas Tech University�s Jerry S. Rawls College of Business: MS in Data Science,Analytics & Data Science,"$7,984",1 year,Fall,"Blended, On-Campus, Online",eric.walden@ttu.edu,806-834-1925,"Texas Tech University, Jerry S. Rawls College of Business, 703 Flint Ave., Box 41030, Lubbock, Texas 79409",https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/
Texas Tech University�s Rawls College of Business: MS in Accounting,Accounting,"$12,904",12-24 months,Fall,"Blended, On-Campus, Online",graduate.admissions@ttu.edu,806-742-3188,"Office of Graduate Admissions, Texas Tech University, 703 Flint Ave., Box 41030, Lubbock, Texas 79409-1030",http://www.depts.ttu.edu/rawlsbusiness/graduate/ms/accounting/index.php
Texas Tech University�s Rawls College of Business: MS in Business Administration,"Analytics & Data Science, Business Administration (MSBA), Finance, Healthcare Administration","$12,904",12- 36 months,Fall,"Blended, On-Campus, Online",graduate.admissions@ttu.edu,806-742-3188,"Office of Graduate Admissions, Texas Tech University, 703 Flint Ave., Box 41030, Lubbock, Texas 79409-1030",http://www.depts.ttu.edu/rawlsbusiness/graduate/ms/msba/
Texas Tech University�s Rawls College of Business: MS in Data Science,Analytics & Data Science,"$13,802",12 months,Fall,"Blended, On-Campus, Online",graduate.admissions@ttu.edu,806-742-3188,"Office of Graduate Admissions, Texas Tech University, 703 Flint Ave., Box 41030, Lubbock, Texas 79409-1030",http://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/index.php
The Hong Kong University of Science and Technology Business School and New York University Stern MS in Global Finance,Finance,"$76,080",1 year,November,Blended,aoconnel@stern.nyu.edu,212-998-0442,"NYU Stern, Suite 4-100, 44 West Fourth Street, New York, New York 10012",http://www.msglobalfinance.org/
The University of Alabama: Master of Arts in Economics,Economics,"$15,149",1 year,Fall,On-Campus,jjones@cba.ua.edu,205-348-7221,"101 Bidgood Hall, Tuscaloosa, Alabama 35487",http://culverhouse.ua.edu/econ/grad.php
The University of Alabama: Master of Tax Accountancy,"Accounting, Taxation","$15,149",1 year,Fall,On-Campus,jjones@cba.ua.edu,205-348-7221,"101 Bidgood Hall, Tuscaloosa, Alabama 35487",http://culverhouse.ua.edu/accounting
The University of Alabama: MS in Finance,Finance,"$15,149",1 year,Fall,On-Campus,jjones@cba.ua.edu,205-348-7221,"101 Bidgood Hall, Tuscaloosa, Alabama 35487",https://culverhouse.ua.edu/graduate-programs/master-of-science-in-finance/
The University of Alabama: MS in Marketing,Marketing,"$15,149",1 year,Fall,On-Campus,jjones@cba.ua.edu,205-348-7221,"101 Bidgood Hall, Tuscaloosa, Alabama 35487",https://culverhouse.ua.edu/graduate-programs/master-of-science-in-marketing/
The University of Alabama: MS in Operations Management,Operations Management,"$15,149",1 year,Fall,On-Campus,jjones@cba.ua.edu,205-348-7221,"101 Bidgood Hall, Tuscaloosa, Alabama 35487",https://culverhouse.ua.edu/graduate-programs/master-of-science-in-operations-management/
Tulane University�s A.B. Freeman School of Business: MS in Accounting,Accounting,"$49,920",2 semesters,"Spring, Fall",On-Campus,tmysing@tulane.edu,504-314-2484,"Tulane University, A.B. Freeman School of Business, Goldring/Woldenberg Hall, Suite 410, New Orleans, Louisiana 70118-5669",http://accounting.tulane.edu/
Tulane University�s A.B. Freeman School of Business: MS in Finance,Finance,"$56,576",11 months,Summer,On-Campus,tulanemfin@tulane.edu,504-314-2620,"Tulane University, A.B. Freeman School of Business, Goldring/Woldenberg Hall, Suite 410, New Orleans, Louisiana 70118-5669",http://finance.tulane.edu/
Tulane University�s A.B. Freeman School of Business: MS in Management,Management,"$43,000",3 semesters,Summer,On-Campus,tulanemmg@tulane.edu,504-314-2485,"Tulane University, A.B. Freeman School of Business, Goldring/Woldenberg Hall, Suite 410, New Orleans, Louisiana 70118-5669",http://masterofmanagement.tulane.edu/
Tulane University�s A.B. Freeman School of Business: MS in Management in Energy,Management,"$57,384",3 semesters,Summer,On-Campus,llandry1@tulane.edu,504-247-1294,"Tulane University, A.B. Freeman School of Business, Goldring/Woldenberg Hall, Suite 410, New Orleans, Louisiana 70118-5669",http://energy.tulane.edu/
UC Irvine�s Paul Merage School of Business: Master of Innovation and Entrepreneurship (MIE),"Entrepreneurship, Innovation","$49,998",9 months,September,On-Campus,mie@merage.uci.edu,949-824-4909,"4293 Pereira Drive, Suite 4500, Irvine, California 92697",https://merage.uci.edu/mie
UCLA�s�Anderson School of Management: Master of Financial Engineering,Finance,"$73,608",15 months,Fall,On-Campus,mfe@anderson.ucla.edu,310-825-3103,"UCLA Anderson School of Management, 110 Westwood Plaza, Entrepreneurs Hall Suite C-401, Los Angeles, California 90095",http://www.anderson.ucla.edu/degrees/master-of-financial-engineering
UCLA�s Anderson School of Management: Masters of Business Analytics,Analytics & Data Science,"$62,579",13 months,"November 6, 2017",Blended,msba.info@anderson.ucla.edu,,"Paul Brandono - Executive Director, 110 Westwood Plaza, Rosenfeld Suite E112 Box 951481, Los Angeles, California 90095-1481",http://www.anderson.ucla.edu/msba
Universidad EAFIT: Master of International Business,Global/International Business,"$11,000",1-2 years,February / July,"Blended, On-Campus",mib@eafit.edu.co,574-261-9500,"Dr. Thomas H Treutler, Carrera 49 N� 7 Sur-50, Medellin ",http://www.eafit.edu.co/mib
University at Buffalo School of Management: MS in Accounting,Accounting,"$10,870",1 year,Fall,On-Campus,som-apps@buffalo.edu,716-645-3204,"Graduate Programs Office, School of Management, University at Buffalo, 203 Alfiero Center, Buffalo, New York 14260-4010",https://mgt.buffalo.edu/degree-programs/master-of-science-ms/accounting.html
University at Buffalo School of Management: MS in Finance,Finance,"$10,870",3 semesters,Fall,On-Campus,som-apps@buffalo.edu,716-645-3204,"Graduate Programs Office, School of Management, University at Buffalo, 203 Alfiero Center, Buffalo, New York 14260-4010",https://mgt.buffalo.edu/degree-programs/master-of-science-ms/finance.html
University at Buffalo School of Management: MS in Management Information Systems,"Information Systems, Management","$10,870",2 semesters,Fall,On-Campus,som-apps@buffalo.edu,716-645-3204,"Graduate Programs Office, School of Management, University at Buffalo, 203 Alfiero Center, Buffalo, New York 14260-4010",https://mgt.buffalo.edu/degree-programs/master-of-science-ms/information-systems.html
University at Buffalo School of Management: MS in Supply Chains & Operations Management,Supply Chain Management,"$10,870",2 semesters,Fall,On-Campus,som-apps@buffalo.edu,716-645-3204,"Graduate Programs Office, School of Management, University at Buffalo, 203 Alfiero Center, Buffalo, New York 14260-4010",https://mgt.buffalo.edu/degree-programs/master-of-science-ms/supply-chains-operations-management.html
University of Alabama: Master of Accountancy,Accounting,"$15,149",1 year,Fall,On-Campus,jjones@cba.ua.edu,205-348-7221,"101 Bidgood Hall, Tuscaloosa, Alabama 35487",http://culverhouse.ua.edu/accounting
University of Arizona�s Eller College of Management: Master of Accounting (MAcc),Accounting,"$12,800 In-State, $22,000 Out-of-State",1 year,Fall,On-Campus,alexmiller@email.arizona.edu,520-621-4455,"Department of Accounting, Eller College of Management, McClelland Hall 301, P.O. Box 210108, 1130 E. Helen Street, Tucson, Arizona 85721-0108",https://macc.eller.arizona.edu/
University of Arizona�s Eller College of Management: MS in Accounting,Accounting,"$12,800 In-State, $22,000 Out-of-State",1 year,Fall,"Blended, On-Campus, Online",alexmiller@email.arizona.edu,520-621-4455,"University of Arizona, Eller College of Management, Administration 322, P.O. Box 210066, 1130 E. Helen Street, Tucson, Arizona 85721-0066",https://msa.eller.arizona.edu/
University of Arizona�s Eller College of Management: MS in Accounting,Accounting,"$47,124",4 semesters,"Fall, Spring, Summer",On-Campus,alexmiller@email.arizona.edu,520-626-3177,"Department of Accounting, Eller College of Management, The University of Arizona, McClelland Hall 301, P.O. Box 210108, Tucson, Arizona 85721-0108",https://msa.eller.arizona.edu/overview
University of Arizona�s Eller College of Management: MS in Cybersecurity,"Cybersecurity, Information Systems","$12,800 In-State, $22,000 Out-of-State",1 year,Varies,Online,cybersecurity@email.arizona.edu,520-621-0193,"Bryn Pallette, 1130 E. Helen Street, Tucson, Arizona 85721",https://cybersecurity.arizona.edu/
University of Arizona�s Eller College of Management: MS in Finance,Finance,"$12,800 In-State, $22,000 Out-of-State",1 year,Fall,On-Campus,kross@email.arizona.edu,520-621-1520,"Department of Finance, Eller College of Management, McClelland Hall 315R, 1130 E. Helen Street, Tucson, Arizona 85721-0108",https://msf.eller.arizona.edu/
University of Arizona�s Eller College of Management: MS in Management Information Systems,Information Systems,"$35,340","10 to 17 months, depending on format",Fall,"On-Campus, Online",cinda@eller.arizona.edu,520-621-2748,"Department of Managment Information Systems, Eller College of Management, McClelland Hall 430, P.O. Box 210108, Tucson, Arizona 85721-0108",https://msmis.eller.arizona.edu/masters-programs/overview
University of Arizona�s Eller College of Management: MS in Marketing,Marketing,"$12,800 In-State, $22,000 Out-of-State",1 year,Fall,On-Campus,jaylafry@email.arizona.edu,520-621-7479,"Department of Marketing, Eller College of Management, McClelland Hall 320, P.O. Box 210108, 1130 E. Helen Street, Tucson, Arizona 85721-0108",https://msm.eller.arizona.edu/
University of California Irvine�s Paul Merage School of Business: Master in Finance,Finance,"$56,100",12 months,September,On-Campus,mfin@merage.uci.edu,949-824-3956,"Master of Finance Program, 4293 Pereira Dr., SB1 Suite 4500, Irvine, California 92697-3125",https://merage.uci.edu/programs/masters/master-finance/
University of California Irvine�s Paul Merage School of Business: Master of Professional Accountancy (MPAc),Accounting,"$46,920",9 months; 18 months,"September, for students meeting accounting undergraduate prerequisites; June, for non-accounting students requiring the summer intensive program in accounting coursework.",On-Campus,mpac@merage.uci.edu,949-824-4909,"Master of Professional Accountancy, Program Office, 4293 Pereira Drive, SB1 Suite 4500, Irvine, California 92697-3125",https://merage.uci.edu/programs/masters/master-professional-accountancy/index.html
University of California Irvine�s Paul Merage School of Business: MS in Biotechnology Managment,"Management, Technology","$58,187",2 years,Fall,On-Campus,morgano@uci.edu,949-824-6034,"UCI Department of Molecular Biology and Biochemistry, 3205 McGaugh Hall, Irvine, California 92697",http://mbb.bio.uci.edu/graduates/masters-science-degree-biotechnology-management/
University of California Irvine�s Paul Merage School of Business: MS in Engineering Management,"Engineering, Management","$29,094 In-State, $41,339 Out-of-State",1 year,September,On-Campus,jean.bennett@uci.edu,949-824-8090,"University of California, Irvine, The Henry Samueli School of Engineering, Graduate Student Affairs Office, 5400 Engineering Hall, Irvine, California 92697",http://engineering.uci.edu/admissions/graduate/programs-and-concentrations/engineering-management
University of California San Diego�s Rady School of Management: MS in Business Analytics,Finance,"$56,250",1 year,August,On-Campus,edayton@ucsd.edu,858-534-0864,"UC San Diego, Rady School of Management, 9500 Gilman Drive, MC 0553, La Jolla, California 92093-0553",https://rady.ucsd.edu/programs/masters-programs/ms-in-business-analytics/
University of California San Diego�s Rady School of Management: MS in Finance,Finance,"63,440",1 year,September,On-Campus,RadyGradAdmissions@ucsd.edu,858-534-9000,"UC San Diego, Rady School of Management, 9500 Gilman Drive, MC 0553, La Jolla, California 92093-0553",https://rady.ucsd.edu/programs/masters-programs/master-of-finance/
"University of California, Berkeley�s Haas School of Business: Master of Financial Engineering",Finance,"$70,796",12 months (9 months academic instruction + 3 months internship / on-site project),March,On-Campus,mfe@haas.berkeley.edu,510-642-4417,"Master of Financial Engineering Program, University of California, S545 Haas School of Business MC 1900, Berkeley, California 94720-1900",http://mfe.berkeley.edu/
University of California�s Davis Graduate School of Management: MS in Professional Accountancy,Accounting,"$46,560 (9 months), $69,840 (21 months)",9 or 21 months (full-time/part-time),Fall,On-Campus,cmlyles@ucdavis.edu,530-752-7658,"UC Davis, Graduate School of Management, Gallagher Hall Room 1101G, Davis One Shields Avenue, Davis, California 95616",http://gsm.ucdavis.edu/master-professional-accountancy-mpac
University of California�s Paul Merage School of Business: MS in Business Analytics,Analytics & Data Science,"$55,000",1 year,,On-Campus,msba@merage.uci.edu,949-824-3956,"4293 Pereira Drive, SB1 Suite 4500, Irvine, California 2697-3125",https://merage.uci.edu/programs/masters/master-science-business-analytics/
University of Cincinnati�s Carl H. Lindner College of Business: MA in Human Resources,Human Resources,"$19,280 In-State, $22,118 Out-of-State",9 months full-time,"Fall, Spring",On-Campus,ralph.katerberg@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, 503 Carl H. Lindner Hall, 2925 Campus Green Dr., P.O. Box 210020, Cincinnati, Ohio 45221-0020",http://business.uc.edu/graduate/masters/ma-human-resources.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Accounting,Accounting,"$19,280 In-State, $22,118 Out-of-State",9 months full-time,"Fall, Spring, Summer",On-Campus,graduate@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, 2925 Campus Green Dr., Cincinnati, Ohio 45221",http://business.uc.edu/graduate/masters/ms-accounting.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Applied Economics,Economics,"$19,280 In-State, $22,118 Out-of-State, $890 per cred hour part-time",12 months full-time,Fall,On-Campus,graduate@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, 606 Carl H. Lindner Hall, 2925 Campus Green Dr., P.O. Box 210020, Cincinnati, Ohio 45221-0020",http://business.uc.edu/graduate/masters/ms-applied-economics.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Business Analytics,Analytics & Data Science,"$19,280 In-State, $22,118 Out-of-State",9 -12 months,Fall,On-Campus,graduate@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, 501 Carl H. Lindner Hall, 2925 Campus Green Dr., P.O. Box 210130, Cincinnati, Ohio 45221-0130",http://business.uc.edu/graduate/masters/ms-business-analytics.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Finance,Finance,"$19,280 In-State, $22,118 Out-of-State",9 months full-time,Fall,On-Campus,graduate@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, Carl H. Lindner Hall, 2925 Campus Green Dr., P.O. Box 210195, Cincinnati, Ohio 45221-0195",http://business.uc.edu/graduate/ms-finance.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Information Systems,Information Systems,"$19,280 In-State, $22,118 Out-of-State",15 Months,Fall,On-Campus,msis@uc.edu,513-556-7022,"University of Cincinnati, Carl H. Lindner College of Business, 501 Carl H. Lindner Hall, 2925 Campus Green Dr., P.O. Box 210130, Cincinnati, Ohio 45221-0130",http://business.uc.edu/graduate/masters/ms-information-systems.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Marketing,Marketing,"$19,280 In-State, $22,118 Out-of-State",9 months or 2 years,"Fall, Spring, Summer",On-Campus,graduate@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, 606 Carl H. Lindner Hall, 2925 Campus Green Dr., P.O. Box 210200, Cincinnati, Ohio 45221-0200",http://business.uc.edu/graduate/masters/ms-marketing.html
University of Cincinnati�s Carl H. Lindner College of Business: MS in Taxation,Taxation,"$29,700 In-State, $30,150 Out-of-State",12 months full-time,"Fall, Spring, Summer",On-Campus,graduate@uc.edu,513-556-7020,"University of Cincinnati, Carl H. Lindner College of Business, Graduate School, 2925 Campus Green Drive, P.O. Box 210627, Cincinnati, Ohio 45221-0627",http://aponline.uc.edu/programs/ms-in-taxation.aspx
University of Colorado�s Leeds School of Business: MS in Accounting,Accounting,"$29,790 In-State, $41,700 Out of State",Two to four semesters,"August, January",On-Campus,leedsms@colorado.edu,303-735-5161,"University of Colorado, Leeds School of Business, 995 Regent Drive, 419 UCB, Boulder, Colorado 80309-0419",https://www.colorado.edu/business/ms-programs/masters-program-accounting
University of Colorado�s Leeds School of Business: MS in Business Analytics,Analytics & Data Science,"$34,704",12 months,Summer,On-Campus,leedsms@colorado.edu,303-492-8397,"University of Colorado, Leeds School of Business, 995 Regent Drive, 419 UCB, Boulder, Colorado 80309-0419",http://www.colorado.edu/business/ms-programs/masters-program-business-analytics
University of Colorado�s Leeds School of Business: MS in Finance,Finance,"$34,704",12 months,Summer,On-Campus,leedsms@colorado.edu,303-492-8397,"University of Colorado, Leeds School of Business, 995 Regent Drive, Boulder, Colorado 80309-0419",http://www.colorado.edu/business/ms-programs/masters-program-finance
University of Colorado�s Leeds School of Business: MS in Real Estate,Real Estate,"$34,704",12 months,Summer,On-Campus,leedsms@colorado.edu,303-492-8397,"University of Colorado, Leeds School of Business, 995 Regent Drive, Boulder, Colorado 80309-0419",http://www.colorado.edu/business/ms-programs/masters-program-real-estate
University of Colorado�s Leeds School of Business: MS in Supply Chain Management,Supply Chain Management,"$34,704",12 months,Summer,On-Campus,leedsms@colorado.edu,303-492-8397,"University of Colorado, Leeds School of Business, 995 Regent Drive, Boulder, Colorado 80309-0419",http://www.colorado.edu/business/ms-programs/masters-program-supply-chain-management
University of Colorado�s Leeds School of Business: MS in Taxation,Taxation,"$29,790 In State $41,700 Out of State",Two to four semesters,"August, January",On-Campus,Leedsmsa@colorado.edu,303-735-5161,"995 Regent Drive, Koelbel Building 419 UCB, Boulder, Colorado 80309-0419",https://www.colorado.edu/business/ms-programs/masters-taxation
University of Connecticut�s School of Business: MS in Accounting,Accounting,"$24,750",Two or more semesters,"Summer, Fall, Spring",Online,kflorian@business.uconn.edu,860-486-0334,"University of Connecticut, Storrs School of Business, 115 North Eagleville Road, U-3225, Storrs, Connecticut 06269",http://msaccounting.business.uconn.edu/curriculum/
